TIME,BARALT,MBS,AIRT,DRAD,LAT,LON,GPSALT
14:03:26,4330.0,874.9,19.6,25.0,34.49,-103.78166666666667,1262.0
14:04:26,4947.0,854.39,17.9,24.6,34.49166666666667,-103.78333333333333,1339.0
14:05:26,5965.0,821.38,18.9,24.2,34.49333333333333,-103.785,1645.0
14:06:26,6921.0,791.34,18.3,26.2,34.495,-103.78666666666666,1951.0
14:07:26,7769.0,765.47,16.1,23.1,34.49666666666667,-103.78833333333333,2293.0
14:08:26,8691.0,738.12,13.7,22.0,34.5,-103.79,2596.0
14:09:26,9590.0,712.25,10.8,20.9,34.501666666666665,-103.79333333333334,2889.0
14:10:26,10462.0,687.86,9.4,19.5,34.50333333333333,-103.795,3174.0
14:11:26,11338.0,664.07,5.9,17.8,34.505,-103.79833333333333,3455.0
14:12:26,12127.0,643.26,5.2,16.2,34.50666666666667,-103.8,3770.0
14:13:26,13042.0,619.77,3.7,15.0,34.51,-103.80166666666666,4044.0
14:14:26,13976.0,596.57,1.4,13.6,34.513333333333335,-103.80333333333333,4336.0
14:15:26,14839.0,575.76,0.0,12.4,34.516666666666666,-103.805,4626.0
14:16:26,15678.0,556.13,-1.0,11.6,34.52,-103.80666666666667,4940.0
14:17:27,16542.0,536.51,-3.0,10.8,34.52333333333333,-103.80833333333334,5211.0
14:18:27,17407.0,517.47,-4.6,9.5,34.525,-103.81,5483.0
14:19:27,18284.0,498.74,-5.7,8.3,34.526666666666664,-103.81333333333333,5783.0
14:20:27,19205.0,479.71,-8.1,7.6,34.528333333333336,-103.81666666666666,6083.0
14:21:27,20022.0,463.35,-9.3,6.4,34.531666666666666,-103.82,6345.0
14:22:27,20832.0,447.59,-9.6,5.7,34.535,-103.82166666666667,6616.0
14:23:27,21668.0,431.83,-11.8,5.0,34.54,-103.825,6905.0
14:24:27,22613.0,414.59,-15.8,4.4,34.54666666666667,-103.82833333333333,7207.0
14:25:27,23438.0,400.02,-16.8,3.3,34.55166666666667,-103.83,7459.0
14:26:27,24361.0,384.26,-19.0,2.1,34.56,-103.83166666666666,7749.0
14:27:27,25244.0,369.69,-19.6,0.7,34.568333333333335,-103.83333333333333,8046.0
14:28:27,26101.0,356.01,-21.0,0.1,34.58,-103.83666666666667,8302.0
14:29:27,26871.0,344.11,-23.4,-0.2,34.59166666666667,-103.84,8579.0
14:30:27,27765.0,330.73,-23.8,-1.0,34.605,-103.845,8870.0
14:31:27,28628.0,318.24,-24.8,-1.5,34.61666666666667,-103.85,9152.0
14:32:27,29414.0,307.24,-29.4,-2.2,34.62833333333333,-103.855,9406.0
14:33:27,30405.0,293.86,-29.3,-3.1,34.64333333333333,-103.86333333333333,9697.0
14:34:27,31413.0,280.77,-34.1,-3.8,34.65833333333333,-103.87166666666667,10019.0
14:35:27,32464.0,267.69,-35.2,-5.3,34.67166666666667,-103.88,10292.0
14:36:27,33512.0,255.2,-36.9,-6.4,34.68333333333333,-103.88666666666667,10612.0
14:37:27,34553.0,243.31,-40.0,-7.6,34.69833333333333,-103.89666666666666,10959.0
14:38:27,35615.0,231.71,-45.2,-9.2,34.711666666666666,-103.90666666666667,11297.0
14:39:27,36609.0,221.3,-44.8,-10.7,34.721666666666664,-103.91666666666667,11598.0
14:40:28,37708.0,210.3,-48.8,-11.9,34.735,-103.925,11906.0
14:41:28,38638.0,201.38,-48.4,-12.9,34.74666666666667,-103.92833333333333,12214.0
14:42:28,39640.0,192.16,-52.8,-14.0,34.763333333333335,-103.93166666666667,12520.0
14:43:28,40584.0,183.84,-52.4,-14.9,34.778333333333336,-103.935,12773.0
14:44:28,41319.0,177.59,-51.9,-15.4,34.791666666666664,-103.94166666666666,13009.0
14:45:28,42115.0,171.05,-50.9,-15.6,34.803333333333335,-103.94833333333334,13248.0
14:46:28,43055.0,163.61,-53.0,-15.6,34.81666666666667,-103.955,13494.0
14:47:28,43875.0,157.37,-54.8,-15.6,34.82333333333333,-103.96166666666667,13795.0
14:48:28,45314.0,146.96,-56.4,-15.9,34.83166666666666,-103.96833333333333,14084.0
14:49:28,46004.0,142.2,-57.7,-16.3,34.83833333333333,-103.97666666666667,14361.0
14:50:28,46807.0,136.85,-61.2,-17.1,34.845,-103.98666666666666,14615.0
14:51:28,47829.0,130.31,-63.5,-18.0,34.85,-103.99166666666666,14871.0
14:52:28,48753.0,124.66,-61.2,-18.7,34.85333333333333,-103.99333333333334,15142.0
14:53:28,49821.0,118.42,-64.8,-18.8,34.85666666666667,-103.995,15453.0
14:54:28,50673.0,113.66,-62.7,-19.3,34.86,-103.995,15735.0
14:55:28,51559.0,108.9,-65.5,-19.9,34.861666666666665,-103.99666666666667,15961.0
14:56:28,51844.0,107.41,-59.3,-20.7,34.86333333333333,-103.99666666666667,16098.0
14:57:28,52722.0,102.95,-60.2,-19.8,34.865,-103.99666666666667,16218.0
